# combo=loongarch-glibc
# source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/loongarch-glibc/parsed.tsv

Combo            | Case Name                | TPASS  | Summary    | Status       | End   
--------------------------------------------------------------------------------
loongarch-glibc  | epoll_ctl03              | 256    | yes/256    | PASS         | 0     
loongarch-glibc  | memfd_create01           | 157    | yes/157    | PASS         | 0     
loongarch-glibc  | getpid01                 | 100    | yes/100    | PASS         | 0     
loongarch-glibc  | splice07                 | 85     | yes/126    | TIMEOUT      | 124   
loongarch-glibc  | pipe11                   | 70     | yes/70     | PASS         | 0     
loongarch-glibc  | clock_getres01           | 44     | yes/44     | PASS         | 0     
loongarch-glibc  | confstr01                | 34     | yes/34     | PASS         | 0     
loongarch-glibc  | mq_timedsend01           | 34     | yes/34     | PASS         | 0     
loongarch-glibc  | chmod01                  | 32     | yes/32     | PASS         | 0     
loongarch-glibc  | posix_fadvise03          | 32     | yes/32     | PASS         | 0     
loongarch-glibc  | posix_fadvise03_64       | 32     | yes/32     | PASS         | 0     
loongarch-glibc  | getitimer01              | 30     | yes/30     | PASS         | 0     
loongarch-glibc  | mq_timedreceive01        | 30     | yes/30     | PASS         | 0     
loongarch-glibc  | signal03                 | 30     | yes/30     | PASS         | 0     
loongarch-glibc  | signal05                 | 30     | yes/30     | PASS         | 0     
loongarch-glibc  | signal04                 | 28     | yes/28     | PASS         | 0     
loongarch-glibc  | ppoll01                  | 20     | yes/20     | PASS         | 0     
loongarch-glibc  | waitpid01                | 18     | yes/19     | TIMEOUT      | 124   
loongarch-glibc  | llseek03                 | 18     | yes/18     | PASS         | 0     
loongarch-glibc  | personality01            | 18     | yes/18     | PASS         | 0     
loongarch-glibc  | setitimer01              | 18     | yes/18     | PASS         | 0     
loongarch-glibc  | pathconf01               | 17     | yes/17     | PASS         | 0     
loongarch-glibc  | select03                 | 16     | yes/40     | PASS         | 0     
loongarch-glibc  | select01                 | 16     | yes/19     | PASS         | 0     
loongarch-glibc  | bind04                   | 16     | yes/16     | PASS         | 0     
loongarch-glibc  | getrlimit01              | 16     | yes/16     | PASS         | 0     
loongarch-glibc  | semctl07                 | 16     | yes/16     | PASS         | 0     
loongarch-glibc  | accept03                 | 15     | yes/23     | PASS         | 0     
loongarch-glibc  | readahead01              | 15     | yes/23     | PASS         | 0     
loongarch-glibc  | lseek02                  | 15     | yes/15     | PASS         | 0     
loongarch-glibc  | lseek11                  | 15     | yes/15     | PASS         | 0     
loongarch-glibc  | msgrcv07                 | 15     | yes/15     | PASS         | 0     
loongarch-glibc  | bind05                   | 14     | yes/14     | PASS         | 0     
loongarch-glibc  | memfd_create02           | 14     | yes/14     | PASS         | 0     
loongarch-glibc  | mmap04                   | 14     | yes/14     | PASS         | 0     
loongarch-glibc  | msgctl01                 | 14     | yes/14     | PASS         | 0     
loongarch-glibc  | prctl08                  | 14     | yes/14     | PASS         | 0     
loongarch-glibc  | prctl02                  | 13     | yes/18     | PASS         | 0     
loongarch-glibc  | semctl01                 | 13     | yes/13     | PASS         | 0     
loongarch-glibc  | af_alg01                 | 12     | yes/14     | PASS         | 0     
