combo=riscv-glibc
source=/mnt/d/OS/F7LY/tools/ltp/judge/v1/outputs/riscv-glibc/raw.log

abort01                  | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
abs01                    | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
accept01                 | TPASS=4    | Summary=yes | SummaryTotal=5    | Status=FAIL         | End=1
accept02                 | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=2
accept03                 | TPASS=15   | Summary=yes | SummaryTotal=23   | Status=PASS         | End=0
accept4_01               | TPASS=8    | Summary=yes | SummaryTotal=9    | Status=PASS         | End=0
access01                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
access02                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
access03                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
access04                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
acct01                   | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
acct02                   | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
acct02_helper            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=128
acl1                     | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
add_ipv6addr             | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
add_key01                | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
add_key02                | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
add_key03                | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
add_key04                | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
add_key05                | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
adjtimex01               | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
adjtimex02               | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
adjtimex03               | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
af_alg01                 | TPASS=12   | Summary=yes | SummaryTotal=14   | Status=PASS         | End=0
af_alg02                 | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
af_alg03                 | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
af_alg04                 | TPASS=0    | Summary=yes | SummaryTotal=6    | Status=FAIL         | End=32
af_alg05                 | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
af_alg06                 | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
af_alg07                 | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
aio-stress               | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
aio01                    | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
aio02                    | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
aiocp                    | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
aiodio_append            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
aiodio_sparse            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
alarm02                  | TPASS=6    | Summary=yes | SummaryTotal=6    | Status=PASS         | End=0
alarm03                  | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
alarm05                  | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
alarm06                  | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
alarm07                  | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
arch_prctl01             | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
asapi_01                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
asapi_02                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
asapi_03                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=2
aslr01                   | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
atof01                   | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=NO_SUMMARY   | End=0
autogroup01              | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
bind01                   | TPASS=7    | Summary=yes | SummaryTotal=7    | Status=PASS         | End=0
bind02                   | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
bind03                   | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
bind04                   | TPASS=16   | Summary=yes | SummaryTotal=16   | Status=PASS         | End=0
bind05                   | TPASS=14   | Summary=yes | SummaryTotal=14   | Status=PASS         | End=0
bind06                   | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
block_dev                | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
bpf_map01                | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
bpf_prog01               | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
bpf_prog02               | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
bpf_prog03               | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
bpf_prog04               | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
bpf_prog05               | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
bpf_prog06               | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
bpf_prog07               | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
brk01                    | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
brk02                    | TPASS=2    | Summary=yes | SummaryTotal=2    | Status=PASS         | End=0
cacheflush01             | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
can_bcm01                | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
can_filter               | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
can_rcv_own_msgs         | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
cap_bounds_r             | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
cap_bounds_rw            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
cap_bset_inh_bounds      | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
capget01                 | TPASS=6    | Summary=yes | SummaryTotal=6    | Status=PASS         | End=0
capget02                 | TPASS=5    | Summary=yes | SummaryTotal=5    | Status=PASS         | End=0
capset01                 | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
capset02                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
capset03                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
capset04                 | TPASS=1    | Summary=yes | SummaryTotal=1    | Status=PASS         | End=0
cfs_bandwidth01          | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
cgroup_core01            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
cgroup_core02            | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
cgroup_core03            | TPASS=0    | Summary=yes | SummaryTotal=1    | Status=FAIL         | End=32
cgroup_fj_proc           | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=TIMEOUT      | End=124
cgroup_regression_fork_processes | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=TIMEOUT      | End=124
cgroup_regression_getdelays | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
cgroup_xattr             | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
chdir01                  | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
chdir04                  | TPASS=3    | Summary=yes | SummaryTotal=3    | Status=PASS         | End=0
check_envval             | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
check_icmpv4_connectivity | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
check_icmpv6_connectivity | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
check_keepcaps           | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
check_netem              | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
check_pe                 | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=32
check_setkey             | TPASS=0    | Summary=no  | SummaryTotal=0    | Status=FAIL         | End=1
